,id_site,no_couche,carbone_16_5_1,ph_eau_6_1,soil_composition,desc_code_occupation1,desc_code_occupation3,x_theo,y_theo
3865,2300,2,29.9,5.6,0.416,surfaces boisees,peupleraies,628563.74,6174138.95
3866,2301,1,63.3,5.2,0.608,surfaces boisees,forets mixtes,644544.59,6174005.09
3867,2302,1,14.9,5.9,0.307,surfaces boisees,forets caducifoliees,660525.36,6173871.01
3868,2302,2,5.94,5.8,0.306,surfaces boisees,forets caducifoliees,660525.36,6173871.01
3869,2303,1,6.97,5.8,0.552,vignes vergers et cultures perennes arbustives,verger (culture pure),676506.06,6173736.76
3870,2303,2,6.2,5.7,0.541,vignes vergers et cultures perennes arbustives,verger (culture pure),676506.06,6173736.76
3871,2304,1,11.5,8.2,0.864,friches,friches,692486.75,6173602.3
3872,2307,1,13.5,6.21,0.326,successions culturales,grandes cultures et prairies courte duree,1171907.86,6169482.25
3873,2308,1,23.2,5.64,0.581,surfaces boisees,forets caducifoliees,1187888.41,6169342.09
3874,2309,1,16.7,5.38,0.328,friches,friches,1203868.95,6169201.76
3875,2310,1,23.5,6.84,0.492,milieux naturels particuliers,"fruticees sclerophylles (maquis, garrigue)",1219849.48,6169061.23
3876,2311,1,22.4,5.3,0.565,surfaces boisees,Surfaces boisees,1235829.96,6168920.41
3877,2312,1,65.9,4.6,0.491,surfaces toujours en herbe,"STH peu productive ( parcours, landes, alpages)",596468.54,6158425.26
3878,2313,1,66.6,4.8,0.393,surfaces toujours en herbe,"STH peu productive ( parcours, landes, alpages)",612449.28,6158291.85
3879,2314,1,22.1,5.7,0.3,surfaces toujours en herbe,"STH peu productive ( parcours, landes, alpages)",628429.97,6158158.27
3880,2314,2,7.98,5.9,0.25,surfaces toujours en herbe,"STH peu productive ( parcours, landes, alpages)",628429.97,6158158.27
3881,2315,1,54.7,5.3,0.538,surfaces boisees,forets mixtes,644410.59,6158024.4
3882,2315,2,30.0,5.1,0.532,surfaces boisees,forets mixtes,644410.59,6158024.4
3883,2317,1,32.1,5.3,0.573,surfaces boisees,forets caducifoliees,676371.69,6157756.07
3884,2318,1,13.4,5.1,0.294,surfaces boisees,forets caducifoliees,692352.21,6157621.6
3885,2318,2,5.18,5.4,0.293,surfaces boisees,forets caducifoliees,692352.21,6157621.6
3886,2319,1,10.7,5.8,0.475,vignes vergers et cultures perennes arbustives,vigne (en culture pure),708332.83,6157486.89
3887,2321,1,70.2,5.83,0.507,milieux naturels particuliers,"fruticees sclerophylles (maquis, garrigue)",1171767.76,6153501.79
3888,2322,1,117.0,5.4,0.369,surfaces boisees,forets de coniferes,1187748.12,6153361.63
3889,2322,2,54.6,5.3,0.264,surfaces boisees,forets de coniferes,1187748.12,6153361.63
3890,2324,1,56.4,6.56,0.564,milieux naturels particuliers,"fruticees sclerophylles (maquis, garrigue)",1219708.84,6153080.73
3891,2325,1,12.7,6.71,0.457,milieux naturels particuliers,"fruticees sclerophylles (maquis, garrigue)",1235689.15,6152939.91
3892,2329,1,14.7,5.4,0.451,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,660256.99,6141909.83
3893,2329,9,107.0,6.32,0.557,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,660256.99,6141909.83
3894,2334,1,69.7,4.77,0.407,milieux naturels particuliers,"fruticees sclerophylles (maquis, garrigue)",1171627.66,6137521.51
3895,2335,1,33.6,4.9,0.326,surfaces boisees,forets caducifoliees,1187607.84,6137381.34
3896,2335,2,19.7,5.1,0.275,surfaces boisees,forets caducifoliees,1187607.84,6137381.34
3897,2336,1,35.0,4.9,0.158,surfaces boisees,forets mixtes,1203588.01,6137240.98
3898,2336,2,18.3,4.8,0.125,surfaces boisees,forets mixtes,1203588.01,6137240.98
3899,2337,1,33.4,6.16,0.559,surfaces boisees,forets mixtes,1219568.16,6137100.41
3900,2337,2,21.7,6.13,0.574,surfaces boisees,forets mixtes,1219568.16,6137100.41
3901,2338,1,10.7,6.23,0.261,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,1235548.29,6136959.62
3902,2341,1,43.0,4.95,0.28,milieux naturels particuliers,"fruticees sclerophylles (maquis, garrigue)",1203447.54,6121260.85
3903,2342,1,63.3,5.12,0.391,surfaces boisees,forets mixtes,1219427.49,6121120.28
3904,2342,2,41.5,5.3,0.396,surfaces boisees,forets mixtes,1219427.49,6121120.28
3905,2343,1,17.6,6.73,0.686,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,1235407.44,6120979.52
3906,2343,2,12.3,7.54,0.796,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,1235407.44,6120979.52
3907,2344,1,33.4,6.11,0.277,parcs et jardins,pelouse de parc,1171347.47,6105561.48
3908,2345,1,20.4,5.4,0.235,surfaces boisees,forets caducifoliees,1187327.29,6105421.28
3909,2345,2,11.0,5.4,0.199,surfaces boisees,forets caducifoliees,1187327.29,6105421.28
3910,2346,1,47.8,5.4,0.429,surfaces boisees,forets caducifoliees,1203307.07,6105280.92
3911,2346,2,33.2,5.7,0.348,surfaces boisees,forets caducifoliees,1203307.07,6105280.92
3912,2347,1,55.6,5.03,0.393,surfaces toujours en herbe,"STH peu productive ( parcours, landes, alpages)",1219286.82,6105140.35
3913,2347,2,39.1,5.29,0.409,surfaces toujours en herbe,"STH peu productive ( parcours, landes, alpages)",1219286.82,6105140.35
3914,2350,1,28.2,6.46,0.289,milieux naturels particuliers,milieux naturels,1187187,6089441.54
3915,2351,1,51.3,5.89,0.382,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,1203166.6,6089301.16
3916,2352,1,52.7,5.4,0.299,surfaces boisees,forets mixtes,1219146.17,6089160.63
